run_id,device,pass,label,start_clock,end_clock,conf,note
23672318504,fitbit,blind,locked,20:13:24,20:31:52,high
23672318504,fitbit,blind,reviewed,,,
23728858378,fitbit,blind,reviewed,,,
23697193172,fitbit,blind,locked,16:11:18,16:13:38,high
23697193172,fitbit,blind,locked,16:17:39,16:20:35,high
23697193172,fitbit,blind,locked,16:21:28,16:25:58,high
23697193172,fitbit,blind,reviewed,,,
23298691779,fitbit,blind,locked,11:39:06,11:47:43,high
23298691779,fitbit,blind,locked,11:51:08,11:52:58,high
23298691779,fitbit,blind,locked,12:13:34,12:14:13,high
23298691779,fitbit,blind,reviewed,,,
23331599739,fitbit,blind,reviewed,,,
23634763296,fitbit,blind,reviewed,,,
23107688892,fitbit,blind,reviewed,,,
23022491839,fitbit,blind,locked,10:20:11,10:23:07,high
23022491839,fitbit,blind,locked,10:30:13,10:34:57,high
23022491839,fitbit,blind,locked,10:36:07,10:37:22,high
23022491839,fitbit,blind,locked,10:38:05,10:39:00,high
23022491839,fitbit,blind,locked,10:55:19,10:57:41,high
23022491839,fitbit,blind,locked,11:00:11,11:01:09,high
23022491839,fitbit,blind,locked,11:05:55,11:06:43,high
23022491839,fitbit,blind,reviewed,,,
23657891755,fitbit,blind,locked,10:49:31,10:51:08,high
23657891755,fitbit,blind,locked,10:52:45,10:58:59,high
23657891755,fitbit,blind,locked,11:25:10,11:30:40,high
23657891755,fitbit,blind,reviewed,,,
23275481805,fitbit,blind,locked,14:00:46,14:10:26,high
23275481805,fitbit,blind,locked,14:11:38,14:12:48,high
23275481805,fitbit,blind,reviewed,,,
23084380435,fitbit,blind,reviewed,,,
